Entity,Code,Year,Cumulative number of objects launched into outer space
APSCO,,2023,1
Algeria,DZA,2017,6
Angola,AGO,2022,2
Arabsat,,2023,15
Argentina,ARG,2023,22
Armenia,ARM,2023,2
Australia,AUS,2024,56
Austria,AUT,2023,4
Azerbaijan,AZE,2018,3
Bangladesh,BGD,2018,2
Belarus,BLR,2023,4
Belgium,BEL,2024,43
Bhutan,BTN,2018,1
Bolivia,BOL,2013,1
Brazil,BRA,2023,46
Bulgaria,BGR,2023,5
Canada,CAN,2024,112
Chile,CHL,2024,8
China,CHN,2024,1385
Colombia,COL,2023,3
Costa Rica,CRI,2018,1
Croatia,HRV,2024,1
Czechia,CZE,2024,12
Denmark,DNK,2023,14
Djibouti,DJI,2024,2
EUMETSAT,,2022,13
Ecuador,ECU,2013,2
Egypt,EGY,2024,14
Estonia,EST,2023,4
Ethiopia,ETH,2019,1
European Space Agency,,2024,109
European Union,,2024,28
Eutelsat,,2016,33
Finland,FIN,2024,34
France,FRA,2024,175
Germany,DEU,2024,132
Ghana,GHA,2017,1
Greece,GRC,2022,5
Guatemala,GTM,2020,1
Hungary,HUN,2024,9
India,IND,2024,155
Indonesia,IDN,2024,25
Inmarsat,,1998,14
Intelsat,,2014,60
Intersputnik,,1999,1
Iran,IRN,2024,20
Iranian Space Agency,,2024,1
Ireland,IRL,2023,1
Israel,ISR,2023,46
Italy,ITA,2024,96
Japan,JPN,2024,352
Jordan,JOR,2018,1
Kazakhstan,KAZ,2018,9
Kenya,KEN,2023,2
Kuwait,KWT,2023,1
Laos,LAO,2015,1
Latvia,LVA,2017,1
Lithuania,LTU,2023,13
Luxembourg,LUX,2024,95
Malaysia,MYS,2023,12
Mauritius,MUS,2021,1
Mexico,MEX,2021,18
Moldova,MDA,2022,1
Monaco,MCO,2020,1
Mongolia,MNG,2024,13
Morocco,MAR,2024,5
NATO,,1991,5
Nepal,NPL,2019,1
Netherlands,NLD,2023,17
New Zealand,NZL,2022,26
Nigeria,NGA,2017,4
North Korea,PRK,2023,3
Norway,NOR,2024,24
Oman,OMN,2024,1
Pakistan,PAK,2024,8
Papua New Guinea,PNG,2015,2
Paraguay,PRY,2021,1
Peru,PER,2016,4
Philippines,PHL,2023,9
Poland,POL,2024,18
Portugal,PRT,2024,3
Qatar,QAT,2018,1
RASCOM,,2010,2
Romania,ROU,2023,2
Russia,RUS,2024,3825
Rwanda,RWA,2024,7
Saudi Arabia,SAU,2021,17
Sea Launch,,1999,1
Senegal,SEN,2024,1
Singapore,SGP,2024,28
Slovakia,SVK,2024,4
Slovenia,SVN,2022,3
South Africa,ZAF,2023,9
South Korea,KOR,2024,68
Spain,ESP,2024,69
Sri Lanka,LKA,2019,1
Starsem,,2000,2
Sweden,SWE,2024,21
Switzerland,CHE,2023,24
Taiwan,TWN,2024,25
Thailand,THA,2023,15
Tunisia,TUN,2021,1
Turkey,TUR,2024,32
Turkmenistan,TKM,2015,1
Uganda,UGA,2022,1
Ukraine,UKR,2023,10
United Arab Emirates,ARE,2023,22
United Kingdom,GBR,2024,793
United States,USA,2024,11969
Uruguay,URY,2024,49
Venezuela,VEN,2017,4
Vietnam,VNM,2019,6
World,OWID_WRL,2024,20344
Zimbabwe,ZWE,2024,2
